name;description;start;finish;category;adress;coordinates;contacts
II Всероссийская студенческая конференция с международным участием «Федотовские чтения. Томск – 2017г.»;СибГМУ;24.11.2017;25.11.2017;0;г. Томск, Московский тракт, 2;56.4718231,84.9429648;СибГМУ Кафедра организации здравоохранения и общественного здоровья, Старший преподаватель, Мочалина Людмила Алексеевна, Тел.: 8-906-199-06-55, E-mail: mochalina-l@mail.ru
Всероссийская конференция с международным участием по истории и философии науки «Медицина конца ХIХ – первой половины ХХ века»;СибГМУ;16.11.2017;16.11.2017;0;г. Томск, Московский тракт, 2;56.4718231,84.9429648;СибГМУ Кафедра организации здравоохранения и общественного здоровья, Старший преподаватель, Мочалина Людмила Алексеевна, Тел.: 8-906-199-06-55, E-mail: mochalina-l@mail.ru
Конференция Генетика человека и патология 2017;Традиционно конференции «Генетика человека и патология» являются ярким событием в научной жизни медицинских генетиков России, ученых, занимающихся вопросами генетики человека, врачей, клинических ординаторов, аспирантов. Конференция 2017 года будет посвящена обсуждению достижений в различных направлениях современной медицинской генетики и генетики человека, в том числе развиваемых в НИИ медицинской генетики. В программе конференции запланированы пленарные лекции ведущих специалистов института и других медико-генетических учреждений России. Состоится панельная дискуссия о состоянии и перспективах медико-генетического консультирования. Документация по учебному мероприятию будет представлена в Комиссию по оценке учебных мероприятий и материалов для непрерывного медицинского образования (НМО).;27.11.2017;27.11.2017;0;г. Томск, пр-т Академический, 16;56.473448,85.053955;https://expomap.ru/conference/genetika-cheloveka-i-patologiya-2017/
XIII Международная научно-практическая конференция «Электронные средства и системы управления»;Уважаемые коллеги! Приглашаем вас принять участие в работе международной научно-практической конференции «Электронные средства и системы управления», посвящённой 55-летию ТУСУРа. Конференция будет проходить 29 ноября – 1 декабря 2017 года. В работе конференции примут участие специалисты ведущих университетов, организаций и фирм, занятых в сфере наукоёмкого бизнеса.;29.11.2017;01.12.2017;0;г. Томск, пр. Ленина, 40;56.4743254,84.9489333;https://tusur.ru/ru/nauka-i-innovatsii/nauchnye-meropriyatiya-tusura/mezhdunarodnaya-nauchno-prakticheskaya-konferentsiya-elektronnye-sredstva-i-sistemy-upravleniya
III Форум академического фандрайзинга;Форум «Меценатство: от истоков к формированию традиций современности» пройдет в рамках Всероссийской конференции «Роль меценатства в истории и современности российского образования и культуры: к 200-летию со дня рождения З.М. Цибульского».;14.11.2017;15.11.2017;0;г. Томск, пр. Ленина, 34.;56.467556,84.950183;http://www.fondpotanin.ru/announcements/37236770
Международная научно-методическая конференция «Современное образование: профессиональная компетентность преподавателей вуза – гарантия обеспечения качества образования»;1–2 февраля 2018 года Томский государственный университет систем управления и радиоэлектроники проводит международную научно-методическую конференцию «Современное образование: профессиональная компетентность преподавателей вуза – гарантия обеспечения качества образования».;01.02.2018;02.02.2018;0;г. Томск, пр. Ленина, 40;56.4743254,84.9489333;https://tusur.ru/ru/nauka-i-innovatsii/nauchnye-meropriyatiya-tusura/mezhdunarodnaya-nauchno-metodicheskaya-konferentsiya-sovremennoe-obrazovanie-problemy-vzaimosvyazi-obrazovatelnyh-i-professionalnyh-standartov
Современные проблемы биологической психиатрии и наркологии;Приглашаем Вас принять участие в работе Четвертой Всероссийской конференции с международным участием «Современные проблемы биологической психиатрии и наркологии», которая состоится в Томске 22-23 мая 2018 года  на базе НИИ психического здоровья Томского НИМЦ (Томск, ул. Алеутская, 4).;22.05.2018;23.05.2018;0;г. Томск, ул. Алеутская, 4;56.543725,84.984949;http://psychiatr.ru/events/631
XXII Международный научный симпозиум студентов и молодых ученых «Проблемы геологии и освоения недр» им. академика М.А. Усова;Организатор: Национальный исследовательский Томский политехнический университет;02.04.2018;07.04.2018;0;г. Томск, пр. Ленина, 30;56.4652495,84.9496829;https://vk.com/event109390577
Двадцать четвертая Всероссийская научная конференция студентов-физиков и молодых ученых ВНКСФ-24;Участниками ВНКСФ-24 могут стать студенты, аспиранты и молодые ученые из России и других стран, приславшие заявку на участие в конференции и тезисы своих работ в указанные сроки согласно правилам участия в конференции. Вы можете посетить ВНКСФ-24 в качестве слушателя, докладчика, приглашённого докладчика или приглашённого лектора по согласованию с оргкомитетом. Возможные формы доклада: устный, стендовый, или устный и стендовый. Вы можете также стать “заочным” участником конференции, высылая свои тезисы только для публикации в сборнике тезисов или путем оформления и предоставления Вашего стендового доклада на время конференции Вашим представителем, или на определенных условиях. Наиболее активные участники прошлых конференций приглашаются к участию в работе оргкомитета конференции на добровольных началах, по согласованию с оргкомитетом конференции.;31.03.2018;07.04.2018;0;г. Томск, пл. Новособорная, 1;56.471977,84.951522;http://asf.ural.ru/VNKSF/Zayavki/cond.html
V Международная конференция «Информационные технологии в промышленности и производстве» 2018;Международная конференция «Информационные технологии в промышленности и производстве» 2018 пройдет на базе Томского политехнического университета, Томск, Россия  18-20 Января 2018 г.;18.01.2018;20.01.2018;0;г. Томск, пр. Ленина, 30;56.4652495,84.9496829;http://portal.tpu.ru/science/konf/itbi
Всероссийская с международным участием научно-практическая конференция студентов и аспирантов «АКТУАЛЬНЫЕ ПРОБЛЕМЫ ФИЗИЧЕСКОЙ КУЛЬТУРЫ, СПОРТА, ТУРИЗМА И РЕКРЕАЦИИ» (Томск, 2018);Уважаемые студенты и аспиранты! Приглашаем Вас принять участие в работе Всероссийской с международным участием научно-практической конференции студентов и аспирантов «АКТУАЛЬНЫЕ ПРОБЛЕМЫ ФИЗИЧЕСКОЙ КУЛЬТУРЫ, СПОРТА, ТУРИЗМА И РЕКРЕАЦИИ». Сроки поведения: 19 апреля 2018 года. Дедлайн: 10 марта 2018 года.;19.04.2018;19.04.2018;0;г. Томск, пр. Ленина, 36;56.4695,84.947513;http://lfk.sportedu.ru/content/vserossiiskaya-s-mezhdunarodnym-uchastiem-nauchno-prakticheskaya-konferentsiya-studentov-i-a
Международная научно-практическая конференция «Молекулы и системы для диагностики и адресной терапии»;Приглашаем Вас принять участие в Международной научно-практической конференции «Молекулы и системы для диагностики и адресной терапии», которая состоится 1-3 ноября 2017 в Сибирском государственном медицинском университете по адресу г. Томск, Московский тракт, 2 (Главный корпус СибГМУ). В рамках конференции запланировано проведение симпозиумов и стендовых сессий.;01.11.2017;03.11.2017;0;г. Томск, Московский тракт, 2;56.4718231,84.9429648;http://omsk-osma.ru/files/692/Molekul%20Tomsk.pdf
IV Международная конференция молодых ученых, аспирантов и студентов «Изотопы: технологии, материалы и применение»;В этом году кафедра «Техническая физика» Физико-технического института Томского политехнического университета, являющегося одним из ведущих центров подготовки специалистов для атомной промышленности, проводит IV Международную конференцию молодых ученых, аспирантов и студентов «Изотопы: технологии, материалы и применение», посвященную проблемам получения различными методами изотопной продукции, диагностики и методов анализа веществ и примесей, создания моноизотопных и изотопно-модифицированных материалов, расширения областей использования изотопов, глубокой очистки трудно разделяемых веществ, хранения и утилизации отходов изотопных производств.;30.10.2017;03.11.2017;0;г. Томск, пр. Ленина 2;56.456331,84.950429;http://portal.tpu.ru/science/konf/isotopes
Международная конференция «Responsible Research and Innovation»;;06.11.2017;09.11.2017;0;г. Томск, ул. Белинского, 53а;56.463129,84.95704;Томск, ТПУ, ИСГТ. тел.: (3822) 563-545, e-mail: sgt@mail.ru
XV Международная научно-практическая конференция студентов, аспирантов и молодых ученых «Молодежь и современные информационные технологии»;На базе Института кибернетики Национального исследовательского Томского политехнического университета (ИК ТПУ) в период с 6 по 10 ноября 2017 г. в г. Томске проводится XV Международная научно-практическая конференция студентов, аспирантов и молодых ученых «Молодежь и современные информационные технологии».;06.11.2017;10.11.2017;0;г. Томск, ул. Советская, 84/3;56.462339,84.954071;http://portal.tpu.ru/ic/science/scientific_activities/msit
VI Международная научно-техническая конференция молодых ученых, аспирантов и студентов «Высокие технологии в современной науке и технике»;Приглашаем Вас к участию в VI Международной научно-технической конференции молодых ученых, аспирантов и студентов «Высокие технологии в современной науке и технике»;27.11.2017;29.11.2017;0;г. Томск, пр. Ленина 2;56.456331,84.950429;http://portal.tpu.ru/science/konf/hightech
Международный семинар «Междисциплинарные проблемы аддитивных технологий»;Приглашаем Вас принять участие в третьем семинаре «Междисциплинарные проблемы аддитивных технологий», который будет проходить в Томском политехническом университете с 4 по 6 декабря 2017 года.;11.12.2017;14.12.2017;0;г. Томск, пр. Ленина, 30;56.4652495,84.9496829;http://portal.tpu.ru/science/seminar/at
HACKATOMSK 2017;КРУПНЕЙШИЙ ХАКАТОН В ТОМСКЕ. ИННОВАЦИОННЫЙ ПРОЕКТ, ОБЪЕДИНЯЮЩИЙ МЕДИА И ТЕХНОЛОГИИ. 100 УЧАСТНИКОВ: ПРОГРАММИСТЫ, ДИЗАЙНЕРЫ, МАРКЕТОЛОГИ, ПРЕДПРИНИМАТЕЛИ. 20 команд, а так же возможность трудоустройства в ГК Олимп;18.11.2017;19.11.2017;1;г. Томск, улица Красноармейская, 147;56.453167,84.975616;http://hackatomsk.ru/?utm_source=partner_vk_kudapoiti&utm_medium=free&utm_term=week_1
Фестиваль школьных команд КВН!;Дорогие друзья! С радостью сообщаем Вам, что 4 ноября состоится традиционный Фестиваль школьных команд КВН! «Юниор Лига КВН» Томска и Томской области приглашает Вас поддержать свои любимые команды КВН! Обещаем Вам, как всегда, веселую атмосферу в уютном зале Дворца творчества детей и молодежи!);04.11.2017;04.11.2017;5;г. Томск, ул. Вершинина, 17;56.467897,84.96092;https://vk.com/schoolkvntomsk
Фитнес-марафон на Новособроной;Присоединяйтесь к фитнес-марафону на Новособроной 29 октября. Время - с 13.30 до 15.00. В программе марафона - показательные номера учащихся отделения «Фитнес-аэробика» - неоднократных победителей и призеров Чемпионата России, Кубка России, всероссийских, региональных и областных соревнований по фитнес-аэробике - команды «Одноклассники», «Стайл», «Микс», «Актив», «Позитив», «Надежда». Все желающие будут иметь возможность вместе с фитнес-инструкторами и учащимися Центра «Юниор» разучить элементы различных направлений фитнеса: аэробика, хип-хоп, стэп-аэробика. Организатор марафон - детский оздоровительно-образовательный (профильный) центр «Юниор» г. Томска.;29.10.2017;29.10.2017;2;г. Томск, пл. Новособорная, 1;56.471977,84.951522;https://vk.com/kuda70?w=wall-101826369_59164
Хакатон «Digital Hack»;IT-шник! Хочешь вывести проект на рынок? Тогда приходи на Хакатон “Digital Hack”, где ТОП-специалисты из разных отраслей прокачают тебя и твой проект всего за 48 часов! «Digital Hack» — это уникальный проект, на котором участники работают не над абстрактными проблемами, а над конкретными задачами для вывода бизнес-проекта на рынок. А активных участников ждут денежные призы! ;04.11.2017;05.11.2017;1;г. Томск, ул. Белинского 51;56.463591,84.957177;https://hackathon.poligon.tpu.ru/
Большой Этнографический диктант в Пушкинке!;Накануне Дня народного единства, 3 ноября, в каждом регионе страны пройдет культурно-просветительская акция «Большой этнографический диктант». В этом году мероприятие получило статус международного – к его проведению подключилось Россотрудничество. Поэтому проверить уровень этнографической грамотности смогут не только жители России, но и соотечественники за рубежом. Стать участником Диктанта могут все желающие. Достаточно придти в Библиотеку им. А. С. Пушкина, ул. Карла Маркса,14, 3 ноября к 14:00 независимо от места жительства, зарегистрироваться и ответить на вопросы диктанта.;03.11.2017;03.11.2017;3;г. Томск, ул Карла Маркса 14;56.489953,84.944514;Библиотека им. А. С. Пушкина, ул. Карла Маркса,14, 3 ноября к 14:00
Слава КПСС ГНОЙНЫЙ | Томск / Театро ;Встречайте в Томске победителя непобедимых! Сложно найти более неоднозначного персонажа на русской хип-хоп сцене. Он доказал всем, что оказался так высоко не случайно. Самые грязные его тексты попадают в наши сердца и звучат там голосами всех его псевдонимов. Представитель нового поколения баттл-рэперов врывается в наш город 16-го ноября, чтобы окунуть нас с головой в его странный мир.;16.11.2017;16.11.2017;4;г. Томск, пр. Фрунзе, 103;56.475712,84.9868829;https://vk.com/kuda70?w=wall-101826369_59039
Концерт «Любовь и смерть», приуроченный к 100-летию русской октябрьской революции. ;7 ноября на сцене Томского театра юного зрителя состоится игривый и смелый концерт «Любовь и смерть», приуроченный к 100-летию русской октябрьской революции.  Концерт входит в программу Натальи Нелюбовой «Черно-белый звук русской революции», представленную ранее в Вене, Париже, Мюнхене и Воронеже. Два предреволюционных немых черно-белых фильма «Дети века» 1915-го и «Жизнь за жизнь» 1916-го года будут представлены в музыкальном сопровождении группы Натальи Нелюбовой. В сегодняшнем восприятии эти фильмы так смешны и наивны... А главную роль в них исполняет звезда русского немого кино Вера Холодная. Фильмы ясно иллюстрируют последние дни безмятежной, уютной, красиво оформленной русской жизни перед тем, как это все исчезнет под обломками старого строя.;07.11.2017;07.11.2017;4;г. Томск, пер. Нахановича, 4;56.483231,84.9464859;Касса театра - 51-36-55. Заказ билетов в WhatsApp: +7-952-150-53-50
Сюжетно-ролевая игра «Квестория»;Квестория - это не просто сюжетно-ролевая игра, это возможность открыть в себе новые способности! Вы можете оказаться не только хорошим актером, гениальным детективом, но и мастером блефа и импровизации! Любите размять мозг парочкой загадок? Хотите попробовать себя в новом амплуа? Тогда ждем вас в Хэллоуинский вечерок, 31.10.17 в 18:30 на игре «Спиритический сеанс». Записывайтесь по 98-46-04 и приходите!;31.10.2017;31.10.2017;2;г. Томск, ул. Сибирская, 29/1;56.4818863,84.974691;Записывайтесь по телефону 98-46-04
